songid,excitedness,happiness,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,name,response_count,response_excitedness,response_happiness
6RcwQer8mvE0cUhkSpT1gu,4.05734556318803,2.747349760045841,124640,2,0,5,0.994,0.352,0.00218,0.795,0.0853,-40.647,0.0539,0.334,131.709,Handel- Suite in Fa Major (Adagio),20,4.05734556318803,2.747349760045841
2hmC0upWZmAkg9ZwSDHD7Q,-6.663376815812453,1.415980230642503,301160,1,1,3,0.994,0.226,0.0293,0.892,0.107,-30.236,0.0448,0.0385,87.933,Intermezzo in B flat Minor Opus 117 No.2 (Johannes Brahms),20,-6.663376815812453,1.415980230642503
3r7HFP1c7F0TS5moDNjgk6,-3.5923319133172797,-0.1973846787479417,160787,2,0,4,0.921,0.377,0.504,0.951,0.071,-16.288,0.0322,0.944,134.259,Prelude and Fugue No 13 in F-sharp major,20,-3.5923319133172797,-0.1973846787479417
15biOfRTqZrfLxe6P1ddoh,-3.209495060156924,1.2806442567212306,152027,1,0,4,0.974,0.519,0.116,0.433,0.312,-22.742,0.0477,0.428,116.533,Trio Sonata in D minor-1 Allegro (Telemann),20,-3.209495060156924,1.2806442567212306
3alsYfAMWcYaBOhoxzp5Re,5.648315487895709,7.450576606260293,148560,11,1,4,0.98,0.407,0.0982,0.914,0.109,-24.18,0.0724,0.464,138.125,Suite in C Major-1 Prelude-Johann Gottfried Conradi,20,5.648315487895709,7.450576606260293
3bhUaQfHR9l98boGu6Q24a,-3.237483591969527,1.3853995057660606,681147,10,0,4,0.881,0.239,0.0867,0.000105,0.161,-21.704,0.0398,0.184,92.414,Sonnerie - from Handel Trio Sonatas,20,-3.237483591969527,1.3853995057660606
1wXZQNctwLAHBAXWkl9GHt,-5.14261900351917,-0.10008237232289964,142840,8,1,4,0.993,0.456,0.146,0.907,0.112,-18.886,0.0483,0.183,114.263,Carnaval Opus 9 - Preambule,20,-5.14261900351917,-0.10008237232289964
0K8yQhQqosSxnqUzgw7QGY,7.961084203930594,4.408119807914755,674267,11,0,4,0.899,0.283,0.141,0.000317,0.122,-17.676,0.0413,0.227,83.461,Biber: Sonata 6 in C Minor (from 8 Sonatas 1681),20,7.961084203930594,4.408119807914755
04cjhGLhlf3NKBGEPl1fEk,-4.628055628898969,-1.3670826176872655,164413,1,0,1,0.981,0.563,0.0609,0.107,0.118,-23.07,0.0426,0.436,94.522,Trio Sonata in D minor-3. Allegro (Telemann),20,-4.628055628898969,-1.3670826176872655
1WcJcEqsyUEeCKhVfj7ZCX,3.583310634867023,7.086805892043801,76707,4,1,3,0.995,0.469,0.0134,0.916,0.102,-26.023,0.0502,0.0357,122.441,Chopin Prelude In E Major Opus 28,20,3.583310634867023,7.086805892043801
1LAlEeMWSponkTegUkQjOI,-2.895819950897131,-1.5128290511409448,181907,9,1,4,0.986,0.217,0.0426,0.0123,0.112,-21.054,0.054,0.387,160.261,Sonata No. 2 BWV 1015 - 1. Dolce (J.S. Bach),20,-2.895819950897131,-1.5128290511409448
6aTENtwFV06NhEhi5V3ECj,-3.062641985855279,1.0024123323134848,246133,0,0,3,0.876,0.268,0.0932,2.94e-05,0.088,-21.951,0.0415,0.159,112.486,Sonata No. 4 BWV 1017 - 1. Largo (J.S. Bach),20,-3.062641985855279,1.0024123323134848
30M2CvrI43F81Agt6L68pd,-5.212631968883126,-1.345551894563427,43920,5,0,4,0.994,0.364,0.261,0.897,0.114,-20.162,0.0295,0.661,63.189,Chopin Prelude In G Minor Opus 28,20,-5.212631968883126,-1.345551894563427
1VdoJvF9iC6NDzG0059l9n,7.07964437858863,-2.662376441515651,247747,4,1,3,0.995,0.447,0.0324,0.888,0.132,-26.969,0.0439,0.0732,71.719,Intermezzo in E Major Opus 116 No.4 (Johannes Brahms),20,7.07964437858863,-2.662376441515651
1QKOTN5RT7TPve4xmIVOps,5.378152816970463,8.84409826533579,231093,7,1,4,0.956,0.229,0.117,0.434,0.305,-23.929,0.0439,0.336,94.279,Sonata BWV 1027 in G major: adagio,20,5.378152816970463,8.84409826533579
5M0AHL1MCcshA5htbnc0X1,-4.0428408728172665,0.12074555715237051,232187,11,0,4,0.422,0.154,0.111,0.000717,0.0964,-17.433,0.0364,0.144,137.423,Set a 5 in C Minor,20,-4.0428408728172665,0.12074555715237051
5IQypz1rEWTcj0S3YOKwNe,-4.122430079644378,-0.883690280065898,491293,1,1,4,0.9,0.29,0.146,0.667,0.129,-20.418,0.0359,0.186,94.402,Sonata for Oboe and Bassoc Continuo in G major: Andante (Sammartini),20,-4.122430079644378,-0.883690280065898
5upiiRig3NhF9Ab5HeIRXq,-5.07593998888683,2.287644151565073,502133,7,0,3,0.97,0.208,0.0772,2.73e-06,0.0729,-21.855,0.0498,0.0754,80.939,Confitebor (Monteverdi),20,-5.07593998888683,2.287644151565073
1ZY3Ve6hKOLxn5Y1BSN5Qz,-1.2288942396740132,3.7187088138385476,216800,2,1,4,0.953,0.301,0.0869,0.0347,0.111,-23.582,0.0376,0.287,83.66,Wachet auf ruft uns die Stimme (BWV 140) - Chorus,20,-1.2288942396740132,3.7187088138385476
7lA8yfEsWlarZiSRd3mQDW,5.234085217069182,4.9500483489721345,713227,2,1,3,0.942,0.507,0.159,0.754,0.124,-16.53,0.036,0.159,112.644,Fandango (Luigi Boccherini),20,5.234085217069182,4.9500483489721345
53bqTstpTJoH7ATnybwJVk,6.776322901822332,2.0567192280536597,132400,11,1,5,0.835,0.295,0.148,0.0133,0.143,-25.228,0.047,0.704,125.686,Froberger: Toccata III in C Major 1656,20,6.776322901822332,2.0567192280536597
3x2hBWjZ5hSI32RRYNDcUs,1.0628779886774522,2.1578952080796494,249500,9,0,4,0.974,0.498,0.456,0.902,0.101,-12.8,0.0311,0.628,101.151,Concerto in A Minor for Four Harpsichords BWV 1065: I Allegro,20,1.0628779886774522,2.1578952080796494
6y57WgLiErkmfjxUh91TUN,5.919429523985925,5.426688632619441,326227,0,1,4,0.982,0.21,0.265,0.113,0.136,-17.667,0.0416,0.182,84.027,Kyrie - Allegro moderato,20,5.919429523985925,5.426688632619441
4qxN1gUvvDuUEabzm0jkn3,5.724393406186329,-0.4841021416803965,535240,5,1,4,0.986,0.398,0.153,0.686,0.149,-17.385,0.0426,0.56,132.603,Oboe Quartet in F (K370) - Allegro,20,5.724393406186329,-0.4841021416803965
5sTiGK6oljvejJIVkeGvm4,0.934432302278199,7.064730917078529,274507,2,0,4,0.925,0.29,0.115,0.049,0.14,-16.963,0.0383,0.151,123.855,La Savorgnana (Giovanni Legrenzi),20,0.934432302278199,7.064730917078529
5Txwlv081K39njx353jh7r,-3.4989812928320054,0.30912788303130084,147320,1,1,4,0.944,0.459,0.287,0.0214,0.183,-16.162,0.0338,0.412,127.697,Gloria (Antonio Vivaldi),20,-3.4989812928320054,0.30912788303130084
1Eh3Jw3vLepRReEhbBPUqU,6.205134606247534,7.127927798868276,223333,7,0,5,0.992,0.492,0.0205,0.00133,0.109,-16.258,0.0434,0.437,132.478,Lenten is come,20,6.205134606247534,7.127927798868276
40q1FR5hnTGTdCzIP4Mzd3,-3.9538882298928475,0.5276210172105564,220120,9,0,4,0.913,0.285,0.0775,0.000786,0.0968,-20.364,0.0417,0.162,103.794,Sonata Prima Detta La Poggia (Marco Uccellini),20,-3.9538882298928475,0.5276210172105564
4yH5S4tzPlH7vAXaT2Ddya,-5.1576217818114465,0.05560131795716651,180093,0,0,4,0.861,0.333,0.476,0.0117,0.148,-17.9,0.0335,0.698,105.889,JS Bach: Partita in C minor (Sarabande),20,-5.1576217818114465,0.05560131795716651
3DNRdudZ2SstnDCVKFdXxG,-8.139745455507633,-1.3566721581548615,315427,1,0,3,0.995,0.184,0.00527,0.887,0.173,-37.264,0.0432,0.151,170.612,Sonata I Sostenuto,20,-8.139745455507633,-1.3566721581548615
6bzAzrOg2Mnik9qa0KiaXH,2.1531320614928693,6.411647446457989,149813,8,1,4,0.978,0.651,0.101,0.871,0.108,-19.241,0.051,0.455,96.355,Andreas Christi Sancte Andrea (Cristobal de Morales),20,2.1531320614928693,6.411647446457989
3BQFGCKyRr5OCLDainTXV5,-6.051022520510334,-0.1046613043899608,211693,11,1,4,0.907,0.579,0.0793,0.404,0.109,-24.799,0.0391,0.302,86.253,Sonata In C Major (Weiss) - Andante,20,-6.051022520510334,-0.1046613043899608
2mXFZQLccfYOYusYcuFeIg,-4.653116590218232,-0.2557660626029654,141507,3,1,4,0.966,0.345,0.317,0,0.38,-13.353,0.0448,0.312,113.591,Come again: sweet love doth now invite (John Dowland),20,-4.653116590218232,-0.2557660626029654
0d6SBWwgSnS1uGLSHZILzQ,-2.8266345619559177,-1.3340197693574962,94667,7,0,4,0.959,0.553,0.0828,0.85,0.0809,-23.288,0.0495,0.454,98.119,Prelude (Phalese),20,-2.8266345619559177,-1.3340197693574962
4WwTSDNUHnE5VydEeYkXj5,-5.520336009936481,-1.682866556836904,381347,4,1,4,0.969,0.454,0.196,0.874,0.12,-16.833,0.0421,0.234,114.758,Sinfonia in La Maggiore (Luigi Boccherini),20,-5.520336009936481,-1.682866556836904
4cTEg3C3RTD7ShgiAySaOb,7.8633189152675325,4.27737668378719,251173,3,1,1,0.943,0.393,0.0514,0.219,0.111,-33.033,0.0471,0.332,99.653,Sonata III in d minor (Allegro:Moderato),20,7.8633189152675325,4.27737668378719
4xxlVgbakgUa2VngV3XdVa,-1.435616732143379,2.4632359316743258,353653,0,0,4,0.993,0.328,0.005,0.0951,0.0952,-25.721,0.0374,0.0681,112.646,Sonata 1 (Largo),20,-1.435616732143379,2.4632359316743258
1RScV1DNccMvkyy0wHFrzX,-3.8635586110717663,0.734809574571179,86480,1,0,4,0.874,0.349,0.205,0.921,0.146,-17.608,0.0455,0.448,115.646,Rosenmuller Sonata Teraz a 2 Allegro,20,-3.8635586110717663,0.734809574571179
4kG6LyEa5ffkjbg1BAr489,1.559798655524443,1.5709225700164726,429693,0,1,5,0.899,0.278,0.201,0.000271,0.0753,-17.16,0.0394,0.418,137.324,Ballo Del Gran Ducca (Giovanni Battista Buonamente),20,1.559798655524443,1.5709225700164726
1gqOg3La1P3q0X3FMsHcZE,-2.58214484163734,1.7589640469037688,207493,11,0,4,0.992,0.218,0.0274,0.719,0.0887,-23.213,0.0367,0.0721,172.516,Chansons sans paroles (1989) op. 2 Pastorale,20,-2.58214484163734,1.7589640469037688
478yZ3EhghZ904UI5cWvzz,-5.921586786224028,-2.8413363698032765,125667,6,1,4,0.97,0.193,0.0772,0.925,0.339,-21.493,0.0447,0.217,82.953,Sonata in C major for oboe and basso continuo after BWV 1035 (adagio ma non tanto),20,-5.921586786224028,-2.8413363698032765
3STBE0r1t5DG7tTG67RFlT,-6.478160443655144,1.9100688051167742,205000,9,0,4,0.995,0.204,0.0404,0.889,0.0578,-23.926,0.0397,0.163,83.515,Drei Romanzen Op. 94 (Nicht schnell),20,-6.478160443655144,1.9100688051167742
7IRVyRWNANnrS7a34Co8Gu,-6.167514681368009,-4.117332105824209,193507,0,1,4,0.809,0.31,0.134,0.00495,0.135,-28.311,0.0376,0.351,105.326,Suite in d minor - Allemande la Loureuse,20,-6.167514681368009,-4.117332105824209
1okQeekaBL7DzFxS0j1s7l,-0.2652451979124671,-0.13824013954840703,310253,7,0,4,0.978,0.132,0.0083,0.00393,0.132,-30.221,0.0616,0.0391,80.347,Stabat Mater (Antonio Vivaldi),20,-0.2652451979124671,-0.13824013954840703
75tHHyxJw2u6EeMPaTNXHD,-0.032260876197117476,-5.25901250121136,168800,0,1,4,0.197,0.585,0.571,0,0.245,-8.342,0.0271,0.666,126.836,If I were fire,20,-0.032260876197117476,-5.25901250121136
5B02PJiyIStKXSbFHcbM3V,5.637024285543074,4.9489533869561,303987,7,0,3,0.994,0.382,0.028,0.934,0.131,-27.892,0.0541,0.396,76.461,Anon : Praeter rerum seriem,20,5.637024285543074,4.9489533869561
3IpsIq5aStFfJNtHZJFXVi,-4.146879051676236,0.3150741350906091,214067,7,1,4,0.968,0.388,0.18,0.894,0.119,-15.836,0.0375,0.344,81.15,La Ritirata Di Madrid (Luigi Boccherini),20,-4.146879051676236,0.3150741350906091
3GxIGhQrnWKJsMivcVn3Is,6.59233191331728,2.8600700164744635,240440,4,1,3,0.627,0.58,0.158,0.000161,0.104,-18.16,0.0454,0.153,132.511,If I were pope,20,6.59233191331728,2.8600700164744635
1BwEFhSaicS7sn7wUHMmE6,6.193597942974188,-0.23897664502374383,124984,8,1,3,0.98,0.256,0.0978,0,0.315,-18.318,0.0613,0.135,80.781,Phenix - Allegro,20,6.193597942974188,-0.23897664502374383
5zCFefmkIAQS0mrTGv1TFE,2.5399147990368576,5.024505766062601,141613,0,1,3,0.91,0.315,0.0796,0.00371,0.131,-19.112,0.0367,0.312,128.166,Avanti Il Quarto Brando (Giovanni Battista Buonamente),20,2.5399147990368576,5.024505766062601
0Fii43hRK9ocOwxylNvwLu,-2.6677162437488424,-1.0327429983525547,442000,4,1,4,0.908,0.235,0.0862,0.345,0.246,-23.546,0.0451,0.315,89.317,Les Delices de la Solitude Op. 20 - Sonata I in F major - Aria,20,-2.6677162437488424,-1.0327429983525547
1jUqIz1pKixLcPFN2hoWoF,-5.6382663456195585,2.170304777594729,203200,5,0,4,0.964,0.16,0.106,0.0163,0.0635,-19.918,0.0426,0.0346,90.922,Magnificat (Antonio Vivaldi),20,-5.6382663456195585,2.170304777594729
6fOnAgXSZQ5qOtRoSWEND6,3.9025854461065776,-0.7258697548212043,249800,5,1,3,0.981,0.207,0.0343,0.865,0.122,-25.427,0.0352,0.0555,133.731,Sinfonia In Re Minore (Luigi Boccherini),20,3.9025854461065776,-0.7258697548212043
7eujJx0u6PnmVWzqkNaG88,5.870008607258425,3.1692751235584837,424827,4,0,4,0.943,0.463,0.197,0.667,0.103,-21.519,0.0345,0.346,120.109,Chopin Prelude In B Minor Opus 28,20,5.870008607258425,3.1692751235584837
4PckZvzNatejKojNIKnCPu,-5.4685617162219575,-1.7332348095745724,131680,1,0,3,0.729,0.264,0.246,0.519,0.0806,-16.504,0.0401,0.167,105.259,Sonata II in D minor - Allegro,20,-5.4685617162219575,-1.7332348095745724
1f3MVDwSNuqBtMxloyLvvD,4.067975551027968,3.1851317957166385,111453,4,1,3,0.993,0.495,0.106,0.921,0.126,-23.852,0.0476,0.675,119.998,Waltz KK IVa no.12 in E major,20,4.067975551027968,3.1851317957166385
1Sa03TevW8uKcVieD3LHJ0,6.206541516402819,7.3162612656265145,201893,4,1,4,0.995,0.356,0.0271,0.899,0.0901,-27.716,0.0496,0.0665,76.451,Intermezzo in E Major Opus 116 No.6 (Johannes Brahms),20,6.206541516402819,7.3162612656265145
5tY3Nzjutp05g2OleVbthn,-4.640173016789601,-0.8433956778757642,124093,0,1,3,0.996,0.492,0.271,0.95,0.095,-26.848,0.0355,0.907,130.917,Sonata III in C major - Fuga da capella,20,-4.640173016789601,-0.8433956778757642
3NpNbK1v8O6uU0dQMJgkuz,3.5789961103908126,5.301531156119779,137453,11,1,4,0.576,0.308,0.46,0.0123,0.159,-10.307,0.0347,0.896,91.941,Trouble fete (Gorner),20,3.5789961103908126,5.301531156119779
7KJio7FwXuLrqvmmG1y4Rj,8.316343985269603,5.9563184417094694,28053,6,0,4,0.994,0.445,0.0606,0.785,0.0946,-29.517,0.0413,0.707,141.515,Chopin Prelude In C Sharp Minor Opus 28,20,8.316343985269603,5.9563184417094694
376Ex3IlFOpcXelKREEFH7,4.497989823823583,1.0538085085764117,99120,0,1,3,0.942,0.354,0.198,2.29e-05,0.185,-15.702,0.0388,0.52,129.764,Gagliard Seconda (Giovanni Battista Buonamente),20,4.497989823823583,1.0538085085764117
6ozOXbh1k3XBIHL9kzCAxf,-0.9641981630585184,1.3392286074231996,247067,7,1,4,0.986,0.288,0.0173,0.0189,0.0785,-25.41,0.0417,0.152,100.544,Alysoun,20,-0.9641981630585184,1.3392286074231996
2LxicsnwXNPR7fNpeNH7IQ,-5.6382663456195585,-0.6204695222405276,226573,0,0,4,0.863,0.243,0.366,0.0543,0.123,-20.578,0.0336,0.795,114.607,More Palatino (Jan Pieterszoon Sweelinck),20,-5.6382663456195585,-0.6204695222405276
7mKNB44OvbUvh1qx0solVl,-4.631998128308361,3.1842972340241023,197147,3,1,3,0.994,0.322,0.216,0.937,0.101,-22.957,0.0441,0.718,111.561,Suite No 4 in E flat major BWV 815: Allemande,20,-4.631998128308361,3.1842972340241023
5QxTjzD0DXchJGlUr7yleX,-2.239859233191331,-0.49361614497529055,212867,9,1,3,0.968,0.353,0.0518,2.22e-05,0.118,-21.811,0.0672,0.338,178.307,Oxenford (Anon),20,-2.239859233191331,-0.49361614497529055
5EJ55HhFMeWwhko26S6gbk,3.4366168026758768,5.620530090125013,207960,0,1,4,0.878,0.516,0.414,0.223,0.0749,-12.484,0.0352,0.745,103.62,BWV 1041 : I. Allegro,20,3.4366168026758768,5.620530090125013
6su8v0Uv3hsUOEaT9nm06s,3.462503949533138,2.480909002810349,35560,0,1,4,0.993,0.342,0.138,0.585,0.109,-27.027,0.0468,0.107,115.411,Chopin Prelude In C Major Opus 28,20,3.462503949533138,2.480909002810349
7ftsdGd4xeqDvpTjJbCdyO,-1.3783925127746965,2.1283312336466707,210373,7,0,3,0.989,0.353,0.261,0.748,0.17,-17.247,0.0524,0.812,94.467,BWV 1001 / IV. Presto,20,-1.3783925127746965,2.1283312336466707
2p07d16xdpMvjTfYJaMho9,3.334506390072235,0.6322075782537062,384240,11,1,4,0.995,0.352,0.0443,0.881,0.0931,-25.665,0.0378,0.247,142.352,Romance in B Major Opus 28 No.3 (Robert Schumann),20,3.334506390072235,0.6322075782537062
0hQUa3OzVogaAhPVMOFgsf,4.394441236394539,1.6246487062699877,149360,3,1,4,0.689,0.344,0.44,0.0197,0.09,-13.185,0.0463,0.529,120.506,Premier Concert - Coulicam (Rameau),20,4.394441236394539,1.6246487062699877
78LNt4v31eS7gqs3S4O8WZ,2.3364130612422778,-0.9441321833511006,156827,8,1,4,0.995,0.354,0.085,0.88,0.106,-29.974,0.0428,0.0831,113.898,Chopin Prelude In A Flat Major Opus 28,20,2.3364130612422778,-0.9441321833511006
6cl48ySVcpRv8jqLW0fXxr,-3.190492792782977,3.2868010466130437,205040,4,1,3,0.775,0.493,0.285,0.00147,0.087,-17.35,0.0344,0.671,131.304,Matteis: Ground After the Scotch Humour,20,-3.190492792782977,3.2868010466130437
5vDxKfWT8CwAKdIVAPC7w2,4.847466306396609,3.9751671673611773,590573,7,1,4,0.917,0.195,0.0416,0.302,0.0951,-21.002,0.0461,0.0402,107.264,Sonata No. 1 in E minor Op. 50 - Andante ,20,4.847466306396609,3.9751671673611773
1BwEFhSaicS7sn7wUHMmE6,2.0387108723837746,4.529217947475531,124984,8,1,3,0.98,0.256,0.0978,0,0.315,-18.318,0.0613,0.135,80.781,Phenix - Allegro,20,2.0387108723837746,4.529217947475531
27xdEutt3SrBR3LfWoEfAr,2.2199209003846025,5.754845430758795,119360,10,1,4,0.995,0.624,0.397,0.931,0.0717,-21.087,0.0539,0.686,103.963,Sonata IV in B-flat major - Bruit de chasse,20,2.2199209003846025,5.754845430758795
0cNkTX5z7HF9ZO6IpuHY6t,5.188044082237452,5.4526359143327845,305667,3,1,3,0.996,0.406,0.00699,0.946,0.0803,-33.418,0.0773,0.0697,79.031,Intermezzo in E flat Major Opus 117 No.1 (Johannes Brahms),20,5.188044082237452,5.4526359143327845
3WvlPjx0LsThdnDOybICr1,-8.440729764771254,0.10100906095551808,286267,11,0,4,0.988,0.553,0.0333,0,0.0748,-26.201,0.0478,0.314,101.845,Ma belle si ton ame (Gilles Durant de la Bergerie),20,-8.440729764771254,0.10100906095551808
0AyptO1NDrEW51CeG46JvZ,-1.6049050477757318,1.3140444810543657,159242,2,0,4,0.962,0.374,0.116,0.909,0.0984,-22.755,0.0369,0.411,96.475,Toccata XX,20,-1.6049050477757318,1.3140444810543657
2G4PNYSG5MFebgYEkjhV5X,-4.174204373358901,1.5407016183738733,198120,2,1,4,0.902,0.367,0.199,0.0034,0.189,-16.145,0.0486,0.146,128.727,Aria Nona (Marco Uccellini),20,-4.174204373358901,1.5407016183738733
31btse2R2Yl3c2Mq0c97Mx,3.2812939215323103,2.648803178602579,189040,10,1,4,0.994,0.308,0.0287,0.821,0.169,-29.394,0.053,0.132,63.743,Capriccio in G minor Opus 116 No.3 (Johannes Brahms),20,3.2812939215323103,2.648803178602579
2XAstIRSHffi8q7AdtPFoq,1.4519355436191883,-0.46190280065897993,162440,4,0,1,0.984,0.314,0.311,0.834,0.13,-13.672,0.0484,0.481,86.144,Prelude (BWV 996) ,20,1.4519355436191883,-0.46190280065897993
6QigSGaSqn2qSM5pTf5HNG,-6.154571107939379,0.5837048163581728,75587,8,0,1,0.995,0.445,0.165,0.89,0.118,-22.962,0.0343,0.633,110.036,Chopin Prelude In G Sharp Minor Opus 28,20,-6.154571107939379,0.5837048163581728
05KYRG87szC4jAgzplWB2O,4.5368205441094736,1.137755596472526,197627,6,1,4,0.996,0.311,0.00536,0.845,0.109,-37.569,0.0551,0.195,81.572,Romance in F sharp Major Opus 28 No.2 (Robert Schumann),20,4.5368205441094736,1.137755596472526
03Fk519kEz0ys4RzBabHsD,-8.613850059379187,1.2049132667894171,358773,4,1,4,0.756,0.263,0.348,0.0308,0.202,-16.05,0.031,0.589,134.078,WF Bach: Concerto in F Major for 2 Harpsichords (Allegro moderato),20,-8.613850059379187,1.2049132667894171
1tDZq6ZP7fKM6rebhQVwhl,6.051218635259254,2.7663291016571376,140507,6,0,5,0.808,0.126,0.0753,0.0351,0.207,-23.844,0.0365,0.103,94.723,Prelude: Suite In G Minor: Le Cinquieme Livre De Pieces De Viole (1725),20,6.051218635259254,2.7663291016571376
1JcAEa0j4ddDkKsAAu72MT,-5.53327958336511,-4.335594534354105,325040,9,1,4,0.961,0.172,0.0688,0.00845,0.108,-21.055,0.0577,0.18,67.202,Sonata Seconda A Tre - Due Violini E Viola Da Brazzo,20,-5.53327958336511,-4.335594534354105
0dRvjBVCStIlBxOqbhAQ3q,-4.264809387359315,2.7159608489194675,131440,5,1,3,0.952,0.588,0.269,0.0419,0.0934,-9.341,0.048,0.512,122.15,To Malvina,20,-4.264809387359315,2.7159608489194675
0upI0Lh3iOCKAEWUYZljXh,-7.837235653661351,0.6004942339373963,175133,9,0,4,0.961,0.327,0.17,0.108,0.158,-19.841,0.0384,0.233,134.703,La Maltese (Mauritio Cazzati),20,-7.837235653661351,0.6004942339373963
