id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,location
1.0,413640,8,0,4,0.164,0.512,0.691,0.000241,0.11,-6.794,0.0384,0.518,121.807,42
4.0,124640,2,0,5,0.994,0.352,0.00218,0.795,0.0853,-40.647,0.0539,0.334,131.709,42
5.0,301160,1,1,3,0.994,0.226,0.0293,0.892,0.107,-30.236,0.0448,0.0385,87.933,43
6.0,160787,2,0,4,0.921,0.377,0.504,0.951,0.071,-16.288,0.0322,0.944,134.259,43
7.0,152027,1,0,4,0.974,0.519,0.116,0.433,0.312,-22.742,0.0477,0.428,116.533,53
8.0,148560,11,1,4,0.98,0.407,0.0982,0.914,0.109,-24.18,0.0724,0.464,138.125,43
9.0,681147,10,0,4,0.881,0.239,0.0867,0.000105,0.161,-21.704,0.0398,0.184,92.414,16
10.0,142840,8,1,4,0.993,0.456,0.146,0.907,0.112,-18.886,0.0483,0.183,114.263,46
11.0,674267,11,0,4,0.899,0.283,0.141,0.000317,0.122,-17.676,0.0413,0.227,83.461,43
12.0,164413,1,0,1,0.981,0.563,0.0609,0.107,0.118,-23.07,0.0426,0.436,94.522,53
13.0,76707,4,1,3,0.995,0.469,0.0134,0.916,0.102,-26.023,0.0502,0.0357,122.441,35
14.0,181907,9,1,4,0.986,0.217,0.0426,0.0123,0.112,-21.054,0.054,0.387,160.261,43
15.0,246133,0,0,3,0.876,0.268,0.0932,2.94e-05,0.088,-21.951,0.0415,0.159,112.486,43
16.0,43920,5,0,4,0.994,0.364,0.261,0.897,0.114,-20.162,0.0295,0.661,63.189,38
17.0,247747,4,1,3,0.995,0.447,0.0324,0.888,0.132,-26.969,0.0439,0.0732,71.719,42
19.0,263200,7,1,3,0.963,0.118,0.0421,0.699,0.105,-22.686,0.0408,0.225,87.544,43
20.0,232187,11,0,4,0.422,0.154,0.111,0.000717,0.0964,-17.433,0.0364,0.144,137.423,35
21.0,491293,1,1,4,0.9,0.29,0.146,0.667,0.129,-20.418,0.0359,0.186,94.402,42
22.0,400800,0,1,4,0.961,0.422,0.21,0.00398,0.114,-14.721,0.0402,0.351,126.279,44
23.0,216800,2,1,4,0.953,0.301,0.0869,0.0347,0.111,-23.582,0.0376,0.287,83.66,53
24.0,713227,2,1,3,0.942,0.507,0.159,0.754,0.124,-16.53,0.036,0.159,112.644,46
25.0,132400,11,1,5,0.835,0.295,0.148,0.0133,0.143,-25.228,0.047,0.704,125.686,44
26.0,249500,9,0,4,0.974,0.498,0.456,0.902,0.101,-12.8,0.0311,0.628,101.151,54
27.0,255160,7,0,3,0.94,0.388,0.25,0.0236,0.135,-19.033,0.0453,0.14,118.845,38
28.0,535240,5,1,4,0.986,0.398,0.153,0.686,0.149,-17.385,0.0426,0.56,132.603,52
29.0,274507,2,0,4,0.925,0.29,0.115,0.049,0.14,-16.963,0.0383,0.151,123.855,43
30.0,147320,1,1,4,0.944,0.459,0.287,0.0214,0.183,-16.162,0.0338,0.412,127.697,54
31.0,223333,7,0,5,0.992,0.492,0.0205,0.00133,0.109,-16.258,0.0434,0.437,132.478,34
32.0,220120,9,0,4,0.913,0.285,0.0775,0.000786,0.0968,-20.364,0.0417,0.162,103.794,43
33.0,180093,0,0,4,0.861,0.333,0.476,0.0117,0.148,-17.9,0.0335,0.698,105.889,34
34.0,733533,9,0,4,0.956,0.364,0.181,0.0684,0.0654,-17.703,0.045,0.131,136.027,52
35.0,149813,8,1,4,0.978,0.651,0.101,0.871,0.108,-19.241,0.051,0.455,96.355,25
36.0,211693,11,1,4,0.907,0.579,0.0793,0.404,0.109,-24.799,0.0391,0.302,86.253,26
37.0,141507,3,1,4,0.966,0.345,0.317,0,0.38,-13.353,0.0448,0.312,113.591,26
38.0,94667,7,0,4,0.959,0.553,0.0828,0.85,0.0809,-23.288,0.0495,0.454,98.119,43
39.0,314400,6,0,4,0.911,0.407,0.0335,0.0252,0.1,-28.618,0.0556,0.237,115.868,54
41.0,251173,3,1,1,0.943,0.393,0.0514,0.219,0.111,-33.033,0.0471,0.332,99.653,44
43.0,86480,1,0,4,0.874,0.349,0.205,0.921,0.146,-17.608,0.0455,0.448,115.646,45
44.0,429693,0,1,5,0.899,0.278,0.201,0.000271,0.0753,-17.16,0.0394,0.418,137.324,43
45.0,207493,11,0,4,0.992,0.218,0.0274,0.719,0.0887,-23.213,0.0367,0.0721,172.516,35
46.0,125667,6,1,4,0.97,0.193,0.0772,0.925,0.339,-21.493,0.0447,0.217,82.953,42
47.0,208080,9,0,3,0.995,0.108,0.0121,0.882,0.0921,-26.42,0.0432,0.0595,67.992,25
48.0,193507,0,1,4,0.809,0.31,0.134,0.00495,0.135,-28.311,0.0376,0.351,105.326,27
49.0,310253,7,0,4,0.978,0.132,0.0083,0.00393,0.132,-30.221,0.0616,0.0391,80.347,37
50.0,168800,0,1,4,0.197,0.585,0.571,0,0.245,-8.342,0.0271,0.666,126.836,46
51.0,303987,7,0,3,0.994,0.382,0.028,0.934,0.131,-27.892,0.0541,0.396,76.461,43
52.0,214067,7,1,4,0.968,0.388,0.18,0.894,0.119,-15.836,0.0375,0.344,81.15,46
53.0,240440,4,1,3,0.627,0.58,0.158,0.000161,0.104,-18.16,0.0454,0.153,132.511,38
54.0,124984,8,1,3,0.98,0.256,0.0978,0,0.315,-18.318,0.0613,0.135,80.781,53
55.0,141613,0,1,3,0.91,0.315,0.0796,0.00371,0.131,-19.112,0.0367,0.312,128.166,26
56.0,442000,4,1,4,0.908,0.235,0.0862,0.345,0.246,-23.546,0.0451,0.315,89.317,42
57.0,203200,5,0,4,0.964,0.16,0.106,0.0163,0.0635,-19.918,0.0426,0.0346,90.922,44
59.0,249800,5,1,3,0.981,0.207,0.0343,0.865,0.122,-25.427,0.0352,0.0555,133.731,46
60.0,424827,4,0,4,0.943,0.463,0.197,0.667,0.103,-21.519,0.0345,0.346,120.109,43
61.0,194316,2,0,4,0.668,0.473,0.398,0.261,0.281,-11.822,0.039,0.673,110.406,45
62.0,111453,4,1,3,0.993,0.495,0.106,0.921,0.126,-23.852,0.0476,0.675,119.998,54
63.0,201893,4,1,4,0.995,0.356,0.0271,0.899,0.0901,-27.716,0.0496,0.0665,76.451,25
64.0,124093,0,1,3,0.996,0.492,0.271,0.95,0.095,-26.848,0.0355,0.907,130.917,45
65.0,137453,11,1,4,0.576,0.308,0.46,0.0123,0.159,-10.307,0.0347,0.896,91.941,54
66.0,28053,6,0,4,0.994,0.445,0.0606,0.785,0.0946,-29.517,0.0413,0.707,141.515,45
67.0,99120,0,1,3,0.942,0.354,0.198,2.29e-05,0.185,-15.702,0.0388,0.52,129.764,44
68.0,247067,7,1,4,0.986,0.288,0.0173,0.0189,0.0785,-25.41,0.0417,0.152,100.544,34
69.0,226573,0,0,4,0.863,0.243,0.366,0.0543,0.123,-20.578,0.0336,0.795,114.607,42
70.0,197147,3,1,3,0.994,0.322,0.216,0.937,0.101,-22.957,0.0441,0.718,111.561,9
71.0,123867,7,1,4,0.655,0.803,0.222,0.00394,0.07,-11.533,0.0431,0.414,117.058,53
72.0,223960,8,0,4,0.883,0.471,0.267,0.000275,0.104,-17.214,0.0371,0.56,95.677,45
73.0,35560,0,1,4,0.993,0.342,0.138,0.585,0.109,-27.027,0.0468,0.107,115.411,43
74.0,258280,7,0,3,0.993,0.393,0.342,0.0213,0.83,-19.976,0.434,0.786,105.774,45
75.0,384240,11,1,4,0.995,0.352,0.0443,0.881,0.0931,-25.665,0.0378,0.247,142.352,45
76.0,149360,3,1,4,0.689,0.344,0.44,0.0197,0.09,-13.185,0.0463,0.529,120.506,28
77.0,156827,8,1,4,0.995,0.354,0.085,0.88,0.106,-29.974,0.0428,0.0831,113.898,43
78.0,205040,4,1,3,0.775,0.493,0.285,0.00147,0.087,-17.35,0.0344,0.671,131.304,45
79.0,590573,7,1,4,0.917,0.195,0.0416,0.302,0.0951,-21.002,0.0461,0.0402,107.264,44
80.0,124984,8,1,3,0.98,0.256,0.0978,0,0.315,-18.318,0.0613,0.135,80.781,52
81.0,456000,9,1,4,0.932,0.307,0.0695,0.748,0.118,-24.127,0.0494,0.177,120.379,53
82.0,305667,3,1,3,0.996,0.406,0.00699,0.946,0.0803,-33.418,0.0773,0.0697,79.031,41
83.0,286267,11,0,4,0.988,0.553,0.0333,0,0.0748,-26.201,0.0478,0.314,101.845,35
84.0,159242,2,0,4,0.962,0.374,0.116,0.909,0.0984,-22.755,0.0369,0.411,96.475,43
85.0,198120,2,1,4,0.902,0.367,0.199,0.0034,0.189,-16.145,0.0486,0.146,128.727,45
86.0,189040,10,1,4,0.994,0.308,0.0287,0.821,0.169,-29.394,0.053,0.132,63.743,36
87.0,162440,4,0,1,0.984,0.314,0.311,0.834,0.13,-13.672,0.0484,0.481,86.144,42
88.0,75587,8,0,1,0.995,0.445,0.165,0.89,0.118,-22.962,0.0343,0.633,110.036,45
89.0,197627,6,1,4,0.996,0.311,0.00536,0.845,0.109,-37.569,0.0551,0.195,81.572,41
90.0,358773,4,1,4,0.756,0.263,0.348,0.0308,0.202,-16.05,0.031,0.589,134.078,46
91.0,140507,6,0,5,0.808,0.126,0.0753,0.0351,0.207,-23.844,0.0365,0.103,94.723,26
92.0,325040,9,1,4,0.961,0.172,0.0688,0.00845,0.108,-21.055,0.0577,0.18,67.202,43
93.0,131440,5,1,3,0.952,0.588,0.269,0.0419,0.0934,-9.341,0.048,0.512,122.15,42
94.0,175133,9,0,4,0.961,0.327,0.17,0.108,0.158,-19.841,0.0384,0.233,134.703,44
95.0,287227,2,1,3,0.968,0.31,0.228,0.0147,0.103,-17.269,0.0389,0.652,177.029,53
96.0,275587,6,1,4,0.99,0.378,0.0918,0.86,0.108,-27.796,0.0388,0.573,128.412,43
97.0,910560,1,1,4,0.985,0.317,0.0717,0.888,0.0913,-23.796,0.0444,0.0378,78.178,36
98.0,226147,5,1,3,0.961,0.331,0.0582,0.000387,0.102,-22.233,0.0478,0.222,146.133,25
99.0,81267,0,1,3,0.794,0.357,0.12,0.0187,0.116,-16.532,0.0385,0.433,91.768,42
100.0,65973,6,0,4,0.829,0.408,0.178,0.000341,0.47,-13.463,0.0399,0.45,98.038,45
101.0,296560,8,0,3,0.976,0.174,0.0447,0.00246,0.108,-27.879,0.0494,0.165,71.602,44
104.0,124640,2,0,5,0.994,0.352,0.00218,0.795,0.0853,-40.647,0.0539,0.334,131.709,44
105.0,301160,1,1,3,0.994,0.226,0.0293,0.892,0.107,-30.236,0.0448,0.0385,87.933,36
106.0,160787,2,0,4,0.921,0.377,0.504,0.951,0.071,-16.288,0.0322,0.944,134.259,43
107.0,152027,1,0,4,0.974,0.519,0.116,0.433,0.312,-22.742,0.0477,0.428,116.533,44
108.0,148560,11,1,4,0.98,0.407,0.0982,0.914,0.109,-24.18,0.0724,0.464,138.125,36
109.0,681147,10,0,4,0.881,0.239,0.0867,0.000105,0.161,-21.704,0.0398,0.184,92.414,46
110.0,142840,8,1,4,0.993,0.456,0.146,0.907,0.112,-18.886,0.0483,0.183,114.263,37
111.0,674267,11,0,4,0.899,0.283,0.141,0.000317,0.122,-17.676,0.0413,0.227,83.461,37
112.0,164413,1,0,1,0.981,0.563,0.0609,0.107,0.118,-23.07,0.0426,0.436,94.522,27
113.0,76707,4,1,3,0.995,0.469,0.0134,0.916,0.102,-26.023,0.0502,0.0357,122.441,33
114.0,181907,9,1,4,0.986,0.217,0.0426,0.0123,0.112,-21.054,0.054,0.387,160.261,28
115.0,246133,0,0,3,0.876,0.268,0.0932,2.94e-05,0.088,-21.951,0.0415,0.159,112.486,37
116.0,43920,5,0,4,0.994,0.364,0.261,0.897,0.114,-20.162,0.0295,0.661,63.189,43
117.0,247747,4,1,3,0.995,0.447,0.0324,0.888,0.132,-26.969,0.0439,0.0732,71.719,42
119.0,263200,7,1,3,0.963,0.118,0.0421,0.699,0.105,-22.686,0.0408,0.225,87.544,46
120.0,232187,11,0,4,0.422,0.154,0.111,0.000717,0.0964,-17.433,0.0364,0.144,137.423,44
121.0,491293,1,1,4,0.9,0.29,0.146,0.667,0.129,-20.418,0.0359,0.186,94.402,38
122.0,400800,0,1,4,0.961,0.422,0.21,0.00398,0.114,-14.721,0.0402,0.351,126.279,34
123.0,216800,2,1,4,0.953,0.301,0.0869,0.0347,0.111,-23.582,0.0376,0.287,83.66,54
124.0,713227,2,1,3,0.942,0.507,0.159,0.754,0.124,-16.53,0.036,0.159,112.644,44
125.0,132400,11,1,5,0.835,0.295,0.148,0.0133,0.143,-25.228,0.047,0.704,125.686,45
126.0,249500,9,0,4,0.974,0.498,0.456,0.902,0.101,-12.8,0.0311,0.628,101.151,54
127.0,255160,7,0,3,0.94,0.388,0.25,0.0236,0.135,-19.033,0.0453,0.14,118.845,46
128.0,535240,5,1,4,0.986,0.398,0.153,0.686,0.149,-17.385,0.0426,0.56,132.603,45
129.0,274507,2,0,4,0.925,0.29,0.115,0.049,0.14,-16.963,0.0383,0.151,123.855,45
130.0,147320,1,1,4,0.944,0.459,0.287,0.0214,0.183,-16.162,0.0338,0.412,127.697,46
131.0,223333,7,0,5,0.992,0.492,0.0205,0.00133,0.109,-16.258,0.0434,0.437,132.478,27
132.0,220120,9,0,4,0.913,0.285,0.0775,0.000786,0.0968,-20.364,0.0417,0.162,103.794,44
133.0,180093,0,0,4,0.861,0.333,0.476,0.0117,0.148,-17.9,0.0335,0.698,105.889,25
134.0,733533,9,0,4,0.956,0.364,0.181,0.0684,0.0654,-17.703,0.045,0.131,136.027,43
135.0,149813,8,1,4,0.978,0.651,0.101,0.871,0.108,-19.241,0.051,0.455,96.355,26
136.0,211693,11,1,4,0.907,0.579,0.0793,0.404,0.109,-24.799,0.0391,0.302,86.253,37
137.0,141507,3,1,4,0.966,0.345,0.317,0,0.38,-13.353,0.0448,0.312,113.591,46
138.0,94667,7,0,4,0.959,0.553,0.0828,0.85,0.0809,-23.288,0.0495,0.454,98.119,46
139.0,314400,6,0,4,0.911,0.407,0.0335,0.0252,0.1,-28.618,0.0556,0.237,115.868,38
141.0,251173,3,1,1,0.943,0.393,0.0514,0.219,0.111,-33.033,0.0471,0.332,99.653,37
143.0,86480,1,0,4,0.874,0.349,0.205,0.921,0.146,-17.608,0.0455,0.448,115.646,44
144.0,429693,0,1,5,0.899,0.278,0.201,0.000271,0.0753,-17.16,0.0394,0.418,137.324,46
145.0,207493,11,0,4,0.992,0.218,0.0274,0.719,0.0887,-23.213,0.0367,0.0721,172.516,8
146.0,125667,6,1,4,0.97,0.193,0.0772,0.925,0.339,-21.493,0.0447,0.217,82.953,44
147.0,208080,9,0,3,0.995,0.108,0.0121,0.882,0.0921,-26.42,0.0432,0.0595,67.992,44
148.0,193507,0,1,4,0.809,0.31,0.134,0.00495,0.135,-28.311,0.0376,0.351,105.326,45
149.0,310253,7,0,4,0.978,0.132,0.0083,0.00393,0.132,-30.221,0.0616,0.0391,80.347,42
150.0,168800,0,1,4,0.197,0.585,0.571,0,0.245,-8.342,0.0271,0.666,126.836,36
151.0,303987,7,0,3,0.994,0.382,0.028,0.934,0.131,-27.892,0.0541,0.396,76.461,44
152.0,214067,7,1,4,0.968,0.388,0.18,0.894,0.119,-15.836,0.0375,0.344,81.15,38
153.0,240440,4,1,3,0.627,0.58,0.158,0.000161,0.104,-18.16,0.0454,0.153,132.511,26
154.0,124984,8,1,3,0.98,0.256,0.0978,0,0.315,-18.318,0.0613,0.135,80.781,44
155.0,141613,0,1,3,0.91,0.315,0.0796,0.00371,0.131,-19.112,0.0367,0.312,128.166,44
156.0,442000,4,1,4,0.908,0.235,0.0862,0.345,0.246,-23.546,0.0451,0.315,89.317,54
157.0,203200,5,0,4,0.964,0.16,0.106,0.0163,0.0635,-19.918,0.0426,0.0346,90.922,36
159.0,249800,5,1,3,0.981,0.207,0.0343,0.865,0.122,-25.427,0.0352,0.0555,133.731,44
160.0,424827,4,0,4,0.943,0.463,0.197,0.667,0.103,-21.519,0.0345,0.346,120.109,20
161.0,194316,2,0,4,0.668,0.473,0.398,0.261,0.281,-11.822,0.039,0.673,110.406,29
162.0,111453,4,1,3,0.993,0.495,0.106,0.921,0.126,-23.852,0.0476,0.675,119.998,46
163.0,201893,4,1,4,0.995,0.356,0.0271,0.899,0.0901,-27.716,0.0496,0.0665,76.451,44
164.0,124093,0,1,3,0.996,0.492,0.271,0.95,0.095,-26.848,0.0355,0.907,130.917,34
165.0,137453,11,1,4,0.576,0.308,0.46,0.0123,0.159,-10.307,0.0347,0.896,91.941,33
166.0,28053,6,0,4,0.994,0.445,0.0606,0.785,0.0946,-29.517,0.0413,0.707,141.515,44
167.0,99120,0,1,3,0.942,0.354,0.198,2.29e-05,0.185,-15.702,0.0388,0.52,129.764,44
168.0,247067,7,1,4,0.986,0.288,0.0173,0.0189,0.0785,-25.41,0.0417,0.152,100.544,43
169.0,226573,0,0,4,0.863,0.243,0.366,0.0543,0.123,-20.578,0.0336,0.795,114.607,46
170.0,197147,3,1,3,0.994,0.322,0.216,0.937,0.101,-22.957,0.0441,0.718,111.561,43
171.0,123867,7,1,4,0.655,0.803,0.222,0.00394,0.07,-11.533,0.0431,0.414,117.058,37
172.0,223960,8,0,4,0.883,0.471,0.267,0.000275,0.104,-17.214,0.0371,0.56,95.677,43
173.0,35560,0,1,4,0.993,0.342,0.138,0.585,0.109,-27.027,0.0468,0.107,115.411,44
174.0,258280,7,0,3,0.993,0.393,0.342,0.0213,0.83,-19.976,0.434,0.786,105.774,46
175.0,384240,11,1,4,0.995,0.352,0.0443,0.881,0.0931,-25.665,0.0378,0.247,142.352,43
176.0,149360,3,1,4,0.689,0.344,0.44,0.0197,0.09,-13.185,0.0463,0.529,120.506,35
177.0,156827,8,1,4,0.995,0.354,0.085,0.88,0.106,-29.974,0.0428,0.0831,113.898,42
178.0,205040,4,1,3,0.775,0.493,0.285,0.00147,0.087,-17.35,0.0344,0.671,131.304,43
179.0,590573,7,1,4,0.917,0.195,0.0416,0.302,0.0951,-21.002,0.0461,0.0402,107.264,46
180.0,124984,8,1,3,0.98,0.256,0.0978,0,0.315,-18.318,0.0613,0.135,80.781,36
181.0,456000,9,1,4,0.932,0.307,0.0695,0.748,0.118,-24.127,0.0494,0.177,120.379,44
182.0,305667,3,1,3,0.996,0.406,0.00699,0.946,0.0803,-33.418,0.0773,0.0697,79.031,42
183.0,286267,11,0,4,0.988,0.553,0.0333,0,0.0748,-26.201,0.0478,0.314,101.845,25
184.0,159242,2,0,4,0.962,0.374,0.116,0.909,0.0984,-22.755,0.0369,0.411,96.475,43
185.0,198120,2,1,4,0.902,0.367,0.199,0.0034,0.189,-16.145,0.0486,0.146,128.727,38
186.0,189040,10,1,4,0.994,0.308,0.0287,0.821,0.169,-29.394,0.053,0.132,63.743,44
187.0,162440,4,0,1,0.984,0.314,0.311,0.834,0.13,-13.672,0.0484,0.481,86.144,26
188.0,75587,8,0,1,0.995,0.445,0.165,0.89,0.118,-22.962,0.0343,0.633,110.036,43
189.0,197627,6,1,4,0.996,0.311,0.00536,0.845,0.109,-37.569,0.0551,0.195,81.572,44
190.0,358773,4,1,4,0.756,0.263,0.348,0.0308,0.202,-16.05,0.031,0.589,134.078,34
191.0,140507,6,0,5,0.808,0.126,0.0753,0.0351,0.207,-23.844,0.0365,0.103,94.723,34
192.0,325040,9,1,4,0.961,0.172,0.0688,0.00845,0.108,-21.055,0.0577,0.18,67.202,43
193.0,131440,5,1,3,0.952,0.588,0.269,0.0419,0.0934,-9.341,0.048,0.512,122.15,42
194.0,175133,9,0,4,0.961,0.327,0.17,0.108,0.158,-19.841,0.0384,0.233,134.703,34
195.0,287227,2,1,3,0.968,0.31,0.228,0.0147,0.103,-17.269,0.0389,0.652,177.029,42
196.0,275587,6,1,4,0.99,0.378,0.0918,0.86,0.108,-27.796,0.0388,0.573,128.412,35
197.0,910560,1,1,4,0.985,0.317,0.0717,0.888,0.0913,-23.796,0.0444,0.0378,78.178,45
198.0,226147,5,1,3,0.961,0.331,0.0582,0.000387,0.102,-22.233,0.0478,0.222,146.133,54
199.0,81267,0,1,3,0.794,0.357,0.12,0.0187,0.116,-16.532,0.0385,0.433,91.768,46
200.0,65973,6,0,4,0.829,0.408,0.178,0.000341,0.47,-13.463,0.0399,0.45,98.038,44
