id,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,location
4.0,124640,2,0,5,0.994,0.352,0.00218,0.795,0.0853,-40.647,0.0539,0.334,131.709,10
5.0,301160,1,1,3,0.994,0.226,0.0293,0.892,0.107,-30.236,0.0448,0.0385,87.933,9
6.0,160787,2,0,4,0.921,0.377,0.504,0.951,0.071,-16.288,0.0322,0.944,134.259,9
7.0,152027,1,0,4,0.974,0.519,0.116,0.433,0.312,-22.742,0.0477,0.428,116.533,9
8.0,148560,11,1,4,0.98,0.407,0.0982,0.914,0.109,-24.18,0.0724,0.464,138.125,14
9.0,681147,10,0,4,0.881,0.239,0.0867,0.000105,0.161,-21.704,0.0398,0.184,92.414,9
10.0,142840,8,1,4,0.993,0.456,0.146,0.907,0.112,-18.886,0.0483,0.183,114.263,9
11.0,674267,11,0,4,0.899,0.283,0.141,0.000317,0.122,-17.676,0.0413,0.227,83.461,11
12.0,164413,1,0,1,0.981,0.563,0.0609,0.107,0.118,-23.07,0.0426,0.436,94.522,9
13.0,76707,4,1,3,0.995,0.469,0.0134,0.916,0.102,-26.023,0.0502,0.0357,122.441,14
14.0,181907,9,1,4,0.986,0.217,0.0426,0.0123,0.112,-21.054,0.054,0.387,160.261,9
15.0,246133,0,0,3,0.876,0.268,0.0932,2.94e-05,0.088,-21.951,0.0415,0.159,112.486,9
16.0,43920,5,0,4,0.994,0.364,0.261,0.897,0.114,-20.162,0.0295,0.661,63.189,9
17.0,247747,4,1,3,0.995,0.447,0.0324,0.888,0.132,-26.969,0.0439,0.0732,71.719,11
19.0,263200,7,1,3,0.963,0.118,0.0421,0.699,0.105,-22.686,0.0408,0.225,87.544,14
20.0,232187,11,0,4,0.422,0.154,0.111,0.000717,0.0964,-17.433,0.0364,0.144,137.423,9
21.0,491293,1,1,4,0.9,0.29,0.146,0.667,0.129,-20.418,0.0359,0.186,94.402,9
22.0,400800,0,1,4,0.961,0.422,0.21,0.00398,0.114,-14.721,0.0402,0.351,126.279,9
23.0,216800,2,1,4,0.953,0.301,0.0869,0.0347,0.111,-23.582,0.0376,0.287,83.66,9
24.0,713227,2,1,3,0.942,0.507,0.159,0.754,0.124,-16.53,0.036,0.159,112.644,10
25.0,132400,11,1,5,0.835,0.295,0.148,0.0133,0.143,-25.228,0.047,0.704,125.686,11
26.0,249500,9,0,4,0.974,0.498,0.456,0.902,0.101,-12.8,0.0311,0.628,101.151,10
27.0,286520,2,0,3,0.966,0.35,0.183,0.454,0.163,-17.413,0.0334,0.112,104.921,11
28.0,535240,5,1,4,0.986,0.398,0.153,0.686,0.149,-17.385,0.0426,0.56,132.603,10
29.0,274507,2,0,4,0.925,0.29,0.115,0.049,0.14,-16.963,0.0383,0.151,123.855,14
30.0,147320,1,1,4,0.944,0.459,0.287,0.0214,0.183,-16.162,0.0338,0.412,127.697,9
31.0,223333,7,0,5,0.992,0.492,0.0205,0.00133,0.109,-16.258,0.0434,0.437,132.478,15
32.0,220120,9,0,4,0.913,0.285,0.0775,0.000786,0.0968,-20.364,0.0417,0.162,103.794,9
33.0,180093,0,0,4,0.861,0.333,0.476,0.0117,0.148,-17.9,0.0335,0.698,105.889,9
34.0,315427,1,0,3,0.995,0.184,0.00527,0.887,0.173,-37.264,0.0432,0.151,170.612,8
35.0,149813,8,1,4,0.978,0.651,0.101,0.871,0.108,-19.241,0.051,0.455,96.355,14
70.0,197147,3,1,3,0.994,0.322,0.216,0.937,0.101,-22.957,0.0441,0.718,111.561,9
104.0,124640,2,0,5,0.994,0.352,0.00218,0.795,0.0853,-40.647,0.0539,0.334,131.709,10
105.0,301160,1,1,3,0.994,0.226,0.0293,0.892,0.107,-30.236,0.0448,0.0385,87.933,9
106.0,160787,2,0,4,0.921,0.377,0.504,0.951,0.071,-16.288,0.0322,0.944,134.259,10
107.0,152027,1,0,4,0.974,0.519,0.116,0.433,0.312,-22.742,0.0477,0.428,116.533,9
108.0,148560,11,1,4,0.98,0.407,0.0982,0.914,0.109,-24.18,0.0724,0.464,138.125,10
109.0,681147,10,0,4,0.881,0.239,0.0867,0.000105,0.161,-21.704,0.0398,0.184,92.414,10
110.0,142840,8,1,4,0.993,0.456,0.146,0.907,0.112,-18.886,0.0483,0.183,114.263,10
111.0,674267,11,0,4,0.899,0.283,0.141,0.000317,0.122,-17.676,0.0413,0.227,83.461,10
112.0,164413,1,0,1,0.981,0.563,0.0609,0.107,0.118,-23.07,0.0426,0.436,94.522,11
113.0,76707,4,1,3,0.995,0.469,0.0134,0.916,0.102,-26.023,0.0502,0.0357,122.441,10
114.0,181907,9,1,4,0.986,0.217,0.0426,0.0123,0.112,-21.054,0.054,0.387,160.261,9
115.0,246133,0,0,3,0.876,0.268,0.0932,2.94e-05,0.088,-21.951,0.0415,0.159,112.486,10
116.0,43920,5,0,4,0.994,0.364,0.261,0.897,0.114,-20.162,0.0295,0.661,63.189,10
117.0,247747,4,1,3,0.995,0.447,0.0324,0.888,0.132,-26.969,0.0439,0.0732,71.719,9
119.0,263200,7,1,3,0.963,0.118,0.0421,0.699,0.105,-22.686,0.0408,0.225,87.544,9
120.0,232187,11,0,4,0.422,0.154,0.111,0.000717,0.0964,-17.433,0.0364,0.144,137.423,11
121.0,491293,1,1,4,0.9,0.29,0.146,0.667,0.129,-20.418,0.0359,0.186,94.402,10
122.0,400800,0,1,4,0.961,0.422,0.21,0.00398,0.114,-14.721,0.0402,0.351,126.279,11
177.0,156827,8,1,4,0.995,0.354,0.085,0.88,0.106,-29.974,0.0428,0.0831,113.898,4
202.0,250853,7,1,4,0.419,0.731,0.398,6.04e-05,0.121,-8.912,0.0405,0.423,144.06,10
203.0,177507,3,1,4,0.192,0.497,0.709,0.000279,0.449,-2.928,0.0365,0.384,89.89,10
204.0,341733,5,1,4,0.714,0.514,0.275,4.2e-06,0.216,-15.19,0.0793,0.613,88.49,10
205.0,282347,10,1,3,0.409,0.346,0.445,0.179,0.259,-8.969,0.0306,0.0418,131.271,11
206.0,207347,10,1,4,0.0318,0.655,0.72,4.71e-05,0.25,-9.423,0.0312,0.745,121.311,9
207.0,185314,10,1,4,0.421,0.449,0.496,0,0.088,-6.104,0.0554,0.247,109.929,11
208.0,256253,7,1,4,0.00391,0.335,0.749,0.916,0.179,-7.192,0.0313,0.353,126.679,10
209.0,223051,7,1,4,0.00797,0.681,0.823,0.542,0.149,-5.107,0.0299,0.905,124.991,10
210.0,229773,11,0,4,0.0923,0.645,0.862,0,0.192,-4.757,0.0965,0.798,119.991,11
211.0,185158,9,0,4,0.135,0.61,0.754,0,0.107,-6.469,0.0585,0.357,121.952,10
212.0,243946,10,0,4,0.0987,0.818,0.562,0.813,0.355,-7.779,0.0356,0.57,125.03,10
213.0,242667,9,1,4,0.0111,0.511,0.855,1.3e-06,0.119,-3.028,0.0479,0.314,164.002,10
214.0,245493,3,1,4,0.225,0.6,0.663,0,0.119,-5.802,0.0477,0.286,121.07,10
215.0,197487,0,1,4,0.0501,0.9,0.4,0,0.0876,-8.443,0.124,0.338,136.001,10
216.0,271011,9,1,5,0.348,0.334,0.392,0.767,0.186,-11.138,0.0572,0.0509,107.273,10
217.0,207507,0,1,4,0.13,0.295,0.723,0.0318,0.151,-5.855,0.0325,0.174,83.793,10
218.0,216600,3,0,4,0.986,0.414,0.153,0.931,0.111,-16.83,0.0298,0.125,150.214,9
219.0,255067,9,1,4,0.194,0.693,0.565,0.000175,0.0806,-12.583,0.0345,0.692,97.937,10
221.0,260707,8,1,4,0.0148,0.569,0.856,7.31e-05,0.927,-7.317,0.0453,0.461,115.935,10
222.0,236333,5,1,4,0.0857,0.521,0.529,1.38e-05,0.0611,-6.117,0.0321,0.381,121.826,10
223.0,165493,4,1,4,0.598,0.483,0.691,0,0.0918,-5.223,0.0805,0.597,79.666,7
302.0,214027,10,0,4,0.0192,0.763,0.837,0.811,0.247,-11.823,0.0585,0.858,159.952,9
303.0,259000,0,0,4,0.631,0.36,0.453,0.0686,0.0901,-12.938,0.049,0.0514,139.991,9
304.0,243520,0,1,4,0.00208,0.581,0.75,0.000442,0.109,-7.211,0.0304,0.325,132.195,5
305.0,240000,0,1,4,0.885,0.63,0.242,0.892,0.0904,-16.499,0.0303,0.134,108.023,10
306.0,416413,7,1,4,0.0058,0.806,0.777,0.93,0.11,-7.306,0.0518,0.079,123.007,9
307.0,210480,2,0,4,0.364,0.879,0.617,0.0203,0.117,-5.011,0.231,0.702,124.934,9
308.0,191307,0,0,4,0.312,0.511,0.873,0.000914,0.173,-5.324,0.0289,0.738,135.696,9
309.0,382840,7,1,4,0.0074,0.794,0.873,0.829,0.108,-7.969,0.0401,0.776,127.963,9
310.0,288000,5,1,4,0.000295,0.363,0.942,6.46e-06,0.329,-5.657,0.0605,0.323,163.235,9
311.0,458133,1,0,4,0.061,0.799,0.832,0.932,0.0914,-11.719,0.046,0.118,128.014,9
312.0,220446,3,0,4,0.992,0.0657,0.0739,0.934,0.119,-20.907,0.0454,0.0358,57.31,9
313.0,215053,4,0,4,0.0466,0.765,0.317,0.482,0.124,-12.178,0.0495,0.352,70.918,9
314.0,423680,4,0,4,0.000146,0.756,0.937,0.769,0.0938,-8.074,0.0407,0.307,129.995,11
315.0,239467,1,1,4,0.0536,0.816,0.711,0,0.129,-4.582,0.33,0.53,91.72,9
316.0,386267,2,1,4,0.000734,0.738,0.685,0.829,0.0982,-8.051,0.0488,0.143,128.987,9
317.0,39375,7,1,4,0.000269,0.58,0.853,0.016,0.356,-13.57,0.0869,0.0392,127.987,9
318.0,441600,0,0,4,0.053,0.512,0.565,0.867,0.111,-11.841,0.0356,0.053,125.014,9
371.0,226720,4,0,4,0.11,0.667,0.805,0,0.132,-3.449,0.24,0.385,184.117,5
